Fecha,Reserva (hm3)
09/01/2019,75.64
10/01/2019,75.67
11/01/2019,75.67
12/01/2019,75.69
13/01/2019,75.69
14/01/2019,75.69
15/01/2019,75.67
16/01/2019,75.67
17/01/2019,75.64
18/01/2019,75.63
19/01/2019,75.6
20/01/2019,75.6
21/01/2019,75.63
22/01/2019,75.56
23/01/2019,75.55
24/01/2019,75.52
25/01/2019,75.49
26/01/2019,75.38
27/01/2019,75.41
28/01/2019,75.37
29/01/2019,75.29
30/01/2019,75.22
31/01/2019,75.18
01/02/2019,75.18
02/02/2019,75.74
03/02/2019,75.88
04/02/2019,75.94
05/02/2019,75.98
06/02/2019,76.02
07/02/2019,76.02
08/02/2019,76.05
09/02/2019,76.09
10/02/2019,76.13
11/02/2019,76.14
12/02/2019,76.15
13/02/2019,76.16
14/02/2019,76.17
15/02/2019,76.19
16/02/2019,76.19
17/02/2019,76.23
18/02/2019,76.26
19/02/2019,76.24
20/02/2019,76.26
21/02/2019,76.26
22/02/2019,76.29
23/02/2019,76.26
24/02/2019,76.25
25/02/2019,76.26
26/02/2019,76.25
27/02/2019,76.24
28/02/2019,76.23
01/03/2019,76.18
02/03/2019,76.21
03/03/2019,76.19
04/03/2019,76.13
05/03/2019,76.09
06/03/2019,76.05
07/03/2019,76.04
08/03/2019,76
09/03/2019,76.02
10/03/2019,76.02
11/03/2019,76.01
12/03/2019,75.93
13/03/2019,75.94
14/03/2019,75.88
15/03/2019,75.77
16/03/2019,75.78
17/03/2019,75.67
18/03/2019,75.58
19/03/2019,75.6
20/03/2019,75.56
21/03/2019,75.43
22/03/2019,75.46
23/03/2019,75.42
24/03/2019,75.36
25/03/2019,75.28
26/03/2019,75.21
27/03/2019,75.17
28/03/2019,75.14
29/03/2019,75.07
30/03/2019,74.96
31/03/2019,74.92
01/04/2019,74.97
02/04/2019,74.97
03/04/2019,75
04/04/2019,74.99
05/04/2019,74.93
06/04/2019,74.95
07/04/2019,74.96
08/04/2019,74.99
09/04/2019,75
